scope,horizon,evaluation_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,5,overlapping,0,logistic_decay_market,76747,1.0,0.3558335079918709,0.35799614185986606,0.35820172463908534,0.3886805677238479,0.00789602873894791,0.00010747881430911495,0.0024087282340516515
all,5,overlapping,0,majority_baseline,76747,1.0,0.3333333333333333,0.20199378191912862,0.0,0.0,,,0.004281430387023256
all,5,overlapping,0,ridge_current,76747,1.0,0.33360398549058035,0.2842957103536989,0.31756308100929614,0.13408095321534957,0.006624290982330333,0.005122928042383139,0.001687756378775196
all,5,overlapping,0,ridge_decay_market,76747,1.0,0.3297757634749061,0.2954573633606639,0.3211509937703945,0.18969686350096374,0.007071260140205075,0.004723432025619967,0.001546371435609428
all,5,overlapping,0,ridge_decay_only,76747,1.0,0.3308896090537692,0.2850038426153083,0.30960111317254174,0.14035395128789208,0.007191615628982609,0.005060234987260903,0.001464563477823223
all,5,overlapping,0,ridge_decay_volume,76747,1.0,0.3286863070722737,0.28718510891736343,0.3087855297157623,0.15076222183283686,0.007238323656511072,0.004857315043801838,0.0017204964041889878
all,5,overlapping,1,logistic_decay_market,19594,1.0,0.36571378679103467,0.34766112905110846,0.4340239912758997,0.2561791967044284,0.0006044991168243782,-0.0021232013029732575,0.0007415790044155951
all,5,overlapping,1,majority_baseline,19594,1.0,0.3333333333333333,0.20125651714350187,0.0,0.0,,,0.0005189945385008557
all,5,overlapping,1,ridge_current,19594,1.0,0.35892021439650995,0.29023990091567575,0.42428571428571427,0.038233779608650875,-0.004517050454267223,-5.2956982952216644e-05,0.0009603841427829174
all,5,overlapping,1,ridge_decay_market,19594,1.0,0.3575138054464629,0.2971300966051873,0.400184842883549,0.05574150360453141,0.0015881916346753683,-0.0011717791957950004,0.0009711706201600734
all,5,overlapping,1,ridge_decay_only,19594,1.0,0.356370532603222,0.2905653817115507,0.38344988344988346,0.042353244078269826,-0.0016917805180516844,-0.0008059315823614081,0.0010767331677969416
all,5,overlapping,1,ridge_decay_volume,19594,1.0,0.3565700886919627,0.28945268526541806,0.39641943734015345,0.039907312049433576,-0.0018897523224490637,-0.0003720603253394728,0.0009404952246976309
all,5,overlapping,2,logistic_decay_market,19329,1.0,0.35310030557734634,0.24514078013917237,0.3065317607615398,0.8651571476850287,0.009772611610993931,0.0004932485710625038,0.015939959627835232
all,5,overlapping,2,majority_baseline,19329,1.0,0.3333333333333333,0.20906723484848486,0.0,0.0,,,0.008940278318199178
all,5,overlapping,2,ridge_current,19329,1.0,0.3155809309288024,0.22684002869767125,0.3085461600938543,0.5777289624873267,0.0070552960352002975,0.010844742440723977,0.050083140890163844
all,5,overlapping,2,ridge_decay_market,19329,1.0,0.31218345315689916,0.22339560296475225,0.29385553470919323,0.6351808043257857,0.008972618291405334,0.007859022360390324,0.04047900892383821
all,5,overlapping,2,ridge_decay_only,19329,1.0,0.31100077583206165,0.22192062176640936,0.30069751616195983,0.5973301791145658,0.007830067687883217,0.010295739562609154,0.03295206611608642
all,5,overlapping,2,ridge_decay_volume,19329,1.0,0.31245802190780975,0.22258648495097907,0.29873695771554093,0.6434606285907402,0.008108050467406777,0.009599833871682794,0.04403507431685648
all,5,overlapping,3,logistic_decay_market,19392,1.0,0.38733432622886466,0.3497516409608554,0.47231424514907716,0.13273041627876048,-0.010272695036640236,0.0009164660174159268,0.0017024337475771865
all,5,overlapping,3,majority_baseline,19392,1.0,0.3333333333333333,0.19611268835990392,0.0,0.0,,,0.0001968061044114328
all,5,overlapping,3,ridge_current,19392,1.0,0.36242966669522575,0.24452710820007909,0.4810126582278481,0.0050538635456842665,-0.008735076350183477,0.001282978287128187,-0.0016820099607723074
all,5,overlapping,3,ridge_decay_market,19392,1.0,0.3616475170622329,0.2404124935474403,0.4268292682926829,0.009309748636786807,-0.005046363007811095,0.0007484974859282777,-0.0008627491503364158
all,5,overlapping,3,ridge_decay_only,19392,1.0,0.3600797191922919,0.24199679997936507,0.45714285714285713,0.0042558850911025405,-0.004859031377795998,0.0014568801928101064,-0.0020835127409783924
all,5,overlapping,3,ridge_decay_volume,19392,1.0,0.3580340635134738,0.240467121136533,0.3984375,0.006782816863944673,-0.005429075009724355,0.001085595067094331,-0.0014315193887856521
all,5,overlapping,4,logistic_decay_market,18432,1.0,0.36346794659682224,0.3639222896366272,0.3944723618090452,0.40695770804911324,0.0132487942696897,-0.0005222356799090421,0.005508114391445041
all,5,overlapping,4,majority_baseline,18432,1.0,0.3333333333333333,0.20135312531556093,0.0,0.0,,,0.007692852394545878
all,5,overlapping,4,ridge_current,18432,1.0,0.3535352781174847,0.18820160725161758,0.3829787234042553,0.009822646657571623,0.029158131588898486,0.006827283650296467,0.010806959913515133
all,5,overlapping,4,ridge_decay_market,18432,1.0,0.33978911457805255,0.2475890043905986,0.4085906993255236,0.15702592087312414,0.0012486818118785169,0.00931131695487847,0.006780532888678861
all,5,overlapping,4,ridge_decay_only,18432,1.0,0.35465330756428065,0.19500429307657896,0.43253968253968256,0.014870395634379262,0.011000571105944396,0.007252837546053781,0.009493589525514025
all,5,overlapping,4,ridge_decay_volume,18432,1.0,0.3508171020211999,0.20085960041287487,0.48363636363636364,0.018144611186903137,-0.001222858938625563,0.007762029458562471,0.008079969545048199
all,5,non_overlapping,0,logistic_decay_market,15427,1.0,0.36038378652809705,0.3618339072187977,0.3642241379310345,0.4195779393509487,0.007470682449597119,-0.0004440913779163068,0.004204288982996377
all,5,non_overlapping,0,majority_baseline,15427,1.0,0.3333333333333333,0.20301746160550596,0.0,0.0,,,0.004866188721402885
all,5,non_overlapping,0,ridge_current,15427,1.0,0.33259369127934485,0.28427037178891285,0.3279835390946502,0.1413371165100195,0.006522496314834319,0.004952336484715076,0.003832264651097191
all,5,non_overlapping,0,ridge_decay_market,15427,1.0,0.3292529068917018,0.29212201534772514,0.3244309559939302,0.1895726192587338,0.00862379603848484,0.004422325682695494,0.0028289825435046526
all,5,non_overlapping,0,ridge_decay_only,15427,1.0,0.3289806405247319,0.28349772319178423,0.31662870159453305,0.14789856357510198,0.00822271487350385,0.004905737226611085,0.0028706765012110284
all,5,non_overlapping,0,ridge_decay_volume,15427,1.0,0.3234345488323724,0.28376111457435116,0.31329113924050633,0.15800673878347224,0.007933278439066114,0.004779464708342506,0.003150530898162041
all,5,non_overlapping,1,logistic_decay_market,4074,1.0,0.35852385141831394,0.3489733461442653,0.41086587436332767,0.3138780804150454,0.002680989753492107,-0.0030908698983314847,0.002887730490974304
all,5,non_overlapping,1,majority_baseline,4074,1.0,0.3333333333333333,0.20452611876807894,0.0,0.0,,,0.0024009083746164214
all,5,non_overlapping,1,ridge_current,4074,1.0,0.3425937212274886,0.28439583177260214,0.3785310734463277,0.04345006485084306,0.0034446132289768327,0.0015497587417398007,0.00268708421744728
all,5,non_overlapping,1,ridge_decay_market,4074,1.0,0.3358764534105036,0.2882398154877082,0.3108974358974359,0.062905317769131,0.015136855447453353,-0.00342605213667846,0.0031674122118763607
