feature,feature_type,provenance,pair_count,case_available_count,control_available_count,both_available_count,case_availability,control_availability,case_median,control_median,paired_mean_difference,paired_median_difference,standardized_difference,ci_low,ci_high,raw_p_value,adjusted_p_value,consistent_folds,consistent_large_groups,status,gate_reasons,gate_passed,minimum_fold_pair_availability,fold_availability_gate_passed,final_gate_reasons,final_gate_passed
pit_sector_assignment_age_days,numeric,observation_date_causal,8199,7699,7536,7147,0.9390169532869862,0.9191364800585438,16.0,15.0,-0.11277459073737232,0.0,-0.010025231261027527,-1.2341224634388779,1.033589296429642,0.844,0.844,2,2,available,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate')",False,0.6788793103448276,False,"('effect_size_below_gate', 'confidence_interval_crosses_zero', 'fold_stability_below_gate', 'diagnostic_only_not_directional', 'fold_pair_availability_below_gate')",False
pit_sector_relative_strength_20,numeric,observation_date_causal,8199,7699,7536,7147,0.9390169532869862,0.9191364800585438,-0.007844514425996207,-0.0018374575014233896,-0.007045533859445862,-0.0026341891191502542,-0.1023906049193592,-0.010648354062386286,-0.0030106380474029947,0.001,0.002,5,3,available,"('effect_size_below_gate',)",False,0.6788793103448276,False,"('effect_size_below_gate', 'fold_pair_availability_below_gate')",False
pit_sector_residual_correlation,numeric,observation_date_causal,8199,7699,7536,7147,0.9390169532869862,0.9191364800585438,0.242266977288429,0.23553111371880317,0.013670837146575803,0.0,0.07323106149333392,0.004575024171604496,0.023406440838723584,0.001,0.002,5,3,available,"('effect_size_below_gate',)",False,0.6788793103448276,False,"('effect_size_below_gate', 'diagnostic_only_not_directional', 'fold_pair_availability_below_gate')",False
pit_stock_sector_relative_strength_20,numeric,observation_date_causal,8199,7699,7536,7147,0.9390169532869862,0.9191364800585438,-0.032270332020791104,0.0019216448512281437,-0.04735791577848852,-0.04481760484950803,-0.07225898029240828,-0.08181539642773325,-0.01325592911058205,0.007,0.009333333333333334,4,3,available,"('effect_size_below_gate',)",False,0.6788793103448276,False,"('effect_size_below_gate', 'fold_pair_availability_below_gate')",False
