scope,source,sample_count,signal_rate,precision,recall,specificity,balanced_accuracy,coverage,mean_future_return,mean_future_mae
all,individual,79647,0.207365,0.350085,0.232948,0.804217,0.518582,0.998496,0.007500,-0.047851
all,group,79767,0.127960,0.400118,0.164049,0.888413,0.526231,1.000000,0.009163,-0.054061
all,slow_decline,79473,0.270343,0.352199,0.306034,0.745776,0.525905,0.996314,0.008915,-0.048122
all,unified_policy_high,79767,0.413216,0.340311,0.450572,0.603732,0.527152,1.000000,0.007780,-0.046722
semiconductor,individual,45481,0.207097,0.338465,0.232006,0.803686,0.517846,0.999560,0.008112,-0.046680
semiconductor,group,45501,0.123008,0.383241,0.155943,0.891262,0.523603,1.000000,0.008474,-0.052808
semiconductor,slow_decline,45452,0.262739,0.329928,0.287109,0.747802,0.517455,0.998923,0.009575,-0.045624
semiconductor,unified_policy_high,45501,0.406958,0.325161,0.437732,0.606376,0.522054,1.000000,0.008016,-0.044996
software,individual,34166,0.207721,0.365507,0.234116,0.804947,0.519531,0.997082,0.006688,-0.049405
software,group,34266,0.134536,0.420607,0.174057,0.884502,0.529280,1.000000,0.009999,-0.055582
software,slow_decline,34021,0.280503,0.380069,0.329637,0.742984,0.536311,0.992850,0.008090,-0.051248
software,unified_policy_high,34266,0.421526,0.359734,0.466427,0.600104,0.533266,1.000000,0.007476,-0.048936
