ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label
ATHN-U,ATHN-U,NYSE,success,clean,157,157,0,0,2021-05-07,2021-12-17,157,True,16834,True
AZK,Aurizon Mines Ltd,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
BANB,Bachem Holding AG B,NYSE,success,clean,1168,1168,0,0,2016-01-04,2020-10-08,675,True,126088,False
BBF,BlackRock Municipal Income Investment Trust,NYSE,success,clean,1329,1329,0,0,2016-01-04,2021-04-14,826,True,151323,False
BLL,Ball Corporation,NYSE,success,clean,1600,1600,0,0,2016-01-04,2022-05-10,1097,True,184638,False
BMRG-WS,BMRG-WS,NYSE,success,clean,113,113,0,0,2020-06-03,2020-11-16,113,True,12521,True
BNNP,BANK OF NAPA NA,NYSE,success,warning,477,471,0,6,2016-01-04,2017-11-21,0,False,50764,False
BNNX,Banks.com Inc,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
BVX,Bovie Medical Corporation,NYSE,success,clean,754,754,0,0,2016-01-04,2018-12-31,251,True,80693,False
CCX-U,CCX-U,NYSE,success,clean,534,534,0,0,2019-10-25,2021-12-20,534,True,57669,True
CFN1,Contifinancial Corp,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
CGC1,Cascade Natural Gas Corp,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
CLAA,Colonnade Acquisition II Corp,NYSE,success,clean,469,469,0,0,2021-04-30,2023-03-10,469,True,49733,False
CLDR,Cloudera Inc,NYSE,success,clean,1123,1123,0,0,2017-04-27,2021-10-11,951,True,126450,False
CNG,Consolidated Natural Gas Co,NYSE,success,clean,1552,1552,0,0,2016-01-04,2022-03-02,1049,True,173070,False
CNNX,CONE Midstream Partners LP,NYSE,success,clean,505,505,0,0,2016-01-04,2018-01-03,2,True,57504,False
CSAOY,Telmex Corp Sa,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
CSI1,Chase Industries Llc,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
CTEST-B,CTEST-B,NYSE,success,warning,9,1,0,8,2019-07-29,2019-07-29,1,True,893,False
DMHYY,Ducati Motor Holding Spa,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
DOL1,Dole Food Company Inc,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
DOMGL,Dominion Energy Inc,NYSE,success,clean,6,6,0,0,2019-06-12,2019-06-28,6,True,702,False
