ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label
SGT,Sames Corp,NYSE,success,clean,1301,1301,0,0,2016-01-04,2022-03-02,798,True,139085,False
SHEL-WI,SHEL-WI,NYSE,success,clean,1,1,0,0,2022-01-31,2022-01-31,1,True,111,False
SNS,Stewart & Stevenson Inc,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
STRE-WS,STRE-WS,NYSE,success,clean,94,94,0,0,2021-05-14,2021-12-17,94,True,9918,True
SUR,Cna Surety Corp,NYSE,success,clean,587,587,0,0,2016-01-04,2018-05-02,84,True,62815,False
SZ,Worldwide Restaurant Concepts Inc,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
SZEZY,Suez,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
TAP1,Travelers Property Casualty Corp,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
THS1,Thermospectra Corp,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
TSH,Teche Holding Company,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
TSPQ-WS,TSPQ-WS,NYSE,success,warning,158,156,0,2,2021-04-22,2021-12-29,156,True,16852,True
TWNT-WS,TWNT-WS,NYSE,success,warning,146,137,0,9,2021-04-26,2022-01-12,137,True,15668,True
VSTO,Vista Outdoor Inc,NYSE,success,clean,2241,2241,0,0,2016-01-04,2024-11-26,1738,True,251110,False
WEBR,Weber Inc,NYSE,success,warning,392,388,0,4,2021-08-05,2023-02-17,388,True,43463,False
WLK1,Waterlink Inc,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
WRE,Washington Real Estate Investment,NYSE,success,clean,1712,1712,0,0,2016-01-04,2022-10-19,1209,True,196261,False
XIN,Xinyuan Real Estate Co Ltd,NYSE,success,clean,2441,2441,0,0,2016-01-04,2025-09-17,1938,True,264333,False
AINC,Ashford Inc,NYSE MKT,success,warning,2071,2066,0,5,2016-01-04,2024-07-26,1644,True,236752,False
AMBI,Ambipar Emergency Response,NYSE MKT,success,clean,1304,1304,0,0,2020-09-09,2025-11-14,1304,True,138585,False
AST-WS,AST.WS,NYSE MKT,success,clean,359,359,0,0,2016-04-26,2017-09-26,0,False,38384,False
ASXC,Asensus Surgical Inc,NYSE MKT,success,warning,2176,2174,0,2,2016-01-04,2024-08-22,1671,True,235829,False
