sample_count,coverage,event_rate,signal_rate,precision,recall,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,mean_mae_when_signaled,scope,horizon,regime_scope,sample_mode,specification,comparable_fold_count,fold_win_rate_vs_ridge_down
149923,1.0,0.36932958918911707,0.146008284252583,0.45194152581087255,0.17866753354644127,0.8731174380235215,0.5258924857849814,0.5258924857849814,0.38408966014682105,0.38336345990942017,-0.06434320320118622,all,5,all_pressure,overlapping,general_logistic_down,4,1.0
149923,1.0,0.36932958918911707,0.0,,0.0,1.0,0.5,0.5,0.36932958918911707,0.36932958918911707,,all,5,all_pressure,overlapping,negative_baseline,4,1.0
149923,1.0,0.36932958918911707,0.4318883693629396,0.5177451737451737,0.6054432825847466,0.6697478636094424,0.6375955730970945,0.6877815787861474,0.5534276069749815,0.2282359524018283,-0.07183936755040742,all,5,all_pressure,overlapping,pressure_downside_logistic_v1,4,1.0
149923,1.0,0.36932958918911707,0.24665995210874916,0.31227690643591133,0.2085568257752253,0.7310263135629071,0.4697915696690662,0.4697915696690662,0.3574308627721476,0.4619371277255658,-0.04531692503532602,all,5,all_pressure,overlapping,ridge_down,0,
10720,1.0,0.47341417910447764,0.036380597014925374,0.6410256410256411,0.04926108374384237,0.975199291408326,0.5122301875760842,0.5122301875760842,0.4816709013666039,0.4631529850746269,-0.12259712219144296,all,5,acute_selloff,overlapping,general_logistic_down,4,1.0
10720,1.0,0.47341417910447764,0.0,,0.0,1.0,0.5,0.5,0.47341417910447764,0.47341417910447764,,all,5,acute_selloff,overlapping,negative_baseline,4,1.0
10720,1.0,0.47341417910447764,0.6041044776119403,0.519302038295244,0.6626600985221675,0.44853852967227636,0.555599314097222,0.5847654186319469,0.5667371871282898,0.26568154627778795,-0.07976323885486006,all,5,acute_selloff,overlapping,pressure_downside_logistic_v1,4,1.0
10720,1.0,0.47341417910447764,0.21026119402985075,0.3926353149955634,0.17438423645320197,0.7574844995571302,0.4659343680051661,0.4659343680051661,0.45932761856528764,0.5185634328358208,-0.05675317114614521,all,5,acute_selloff,overlapping,ridge_down,0,
57645,1.0,0.4036429872495446,0.12906583398386678,0.4497311827956989,0.14380264741275572,0.8809087471274398,0.5123556972700978,0.5123556972700978,0.4102705917835584,0.41661896088125594,-0.06316098988229461,all,5,correction,overlapping,general_logistic_down,4,0.75
57645,1.0,0.4036429872495446,0.0,,0.0,1.0,0.5,0.5,0.4036429872495446,0.4036429872495446,,all,5,correction,overlapping,negative_baseline,4,0.5
