ticker,identity_panel,cik,link_status,decision_rule,reason_codes
FSNMQ,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
FSRXW,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
FTAA,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
GB,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
GBIXQ,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
GBLL,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
GBRGR,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
GCI,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
GEAC,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
GEHI,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
GLHAU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
GLYT,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
GOV,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
GRLFD,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
GRNAW,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
HCCO,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
HHT,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
HKFI,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
HLAH,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
HQCL,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
HUN1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
HYZN,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
IAAI,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
IBKCN,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
IGLC,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
IKOS,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
ILAS,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
IMI,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
INXN,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
IRATA,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
ISO,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
ITACU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
ITQRU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
IWA,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
JFC,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
JMAC,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
JMU,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
JW-B,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
JWS,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
KIDEQ,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
KIND,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
KLTO,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
KMAGQ,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
KRSC,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
KSICW,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
KTIE,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
KVSB,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
LBC,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
LDL,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
LEJU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
LEVB,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
LIXTW,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
LNCB,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
LNCC,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
LRFC,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
LTRY,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
LVRAW,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
MACC,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
MCDY,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
MCG,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
MCMJ,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
METCV,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
MFH,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
MFLO,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
MHG,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
MHX,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
MKFG,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
MKGI,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
MMV,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
MRKF,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
MRXLY,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
MTBC,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
MTP,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
NCS,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
NGD,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
NOVSU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
NRCG,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
NSPK,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
NSTB,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
NVET,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
NYRT,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
OAS,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
OCCIP,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
OPI,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
OPTN,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
OROA,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
OSMT,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
PARAA,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
PBBK,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
PBG,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
PCSS,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
PHAS,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
PKTR,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
PLMJ,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
PMB,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
PNG,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
POND,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
PRLH,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
PRTH1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
PSDO,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
PSTG,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
PSXP,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
PTICW,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
PWJ,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
RACA,conflicting_isin,,unresolved,no_identity_candidates,no_identity_candidates
RCB,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
RELIW,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
ROSG,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
RPCLF,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
RTK,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
RTN,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SAFM,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SAFT1,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SBEA,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SCAQW,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
SCLD,ticker_only,,unresolved,no_identity_candidates,no_identity_candidates
SCLEU,strong_isin,,unresolved,no_identity_candidates,no_identity_candidates
